Time_Stamp,UBL_Shares,HBL_Shares,MEBL_Shares,Trade_Ocurred,UBL_Pred,HBL_Pred,MEBL_Pred,UBL_portfolio,HBL_portfolio,MEBL_portfolio,Balance,Brocker_Fee,Share1_NetChange,Share2_NetChange,Share3_NetChange,TN
2009-06-18,0,0,0,False,0,0,0,0.0,0.0,0.0,100000,0.0,0,0,0,100000
2009-06-18,162,92,986,True,0,0,0,0.33,0.33,0.33,109,891.0,-33000,-33000,-33000,99109
2007-07-16 00:00:00,146.34146341463418,75.29577464788731,1271.787443946188,True,0.05000000000001137,-13.600000000000023,0.5,0.29975689413101236,0.26978120471791106,0.429361783256791,109.0,28.71,3300.0,6270.0,-9541.29,99080.29
2007-07-17 00:00:00,146.34146341463418,75.29577464788731,1271.787443946188,False,-8.0,-17.049999999999955,-1.4500000000000028,0.30098757963982614,0.2604469437729963,0.43746111411311317,109.0,0,0,0,0,98699.47825993256
2007-07-18 00:00:00,167.47433144154002,75.29577464788731,1144.608699551569,True,2.5,-15.850000000000023,-0.6499999999999986,0.34599032533069946,0.25874120652326427,0.3941136659823354,109.0,12.399927578475333,-4120.909265246636,0,4133.3091928251115,94388.46187356855
2007-07-19 00:00:00,150.72689829738601,97.76688376873021,1030.147829596412,True,-1.1500000000000057,8.800000000000011,-0.8500000000000014,0.3206131362286949,0.324840665273973,0.3533722475566307,109.0,10.936736124215242,3307.6180459704156,-6932.337163780037,3645.5787080717478,92848.85442903274
2007-07-20 00:00:00,135.6542084676474,117.1003914178276,927.1330466367708,True,4.150000000000006,7.599999999999966,1.5499999999999972,0.28751285997483506,0.4010712359383582,0.31023932914310753,109.0,8.878567944207523,2959.5226480691745,-6134.521977058598,3193.4582717488775,92641.78247523916
2007-07-23 00:00:00,122.08878762088267,94.85131704844035,1231.8564066663585,True,-0.5,-4.899999999999977,1.6000000000000014,0.2563173776665942,0.3226866290251768,0.4198546550082884,109.00000000000045,29.845773427170737,2719.8668797763307,7228.724262613914,-9918.745368963075,95501.9208640152
2007-07-24 00:00:00,190.68169157131388,76.82956680923668,997.8036893997503,True,0.0,-1.75,-0.8999999999999986,0.3935403248506195,0.2537047573352911,0.3516301140886968,109.00000000000136,11.358331997667158,-13718.58079008624,5766.960076545174,7992.900294654666,96905.79568621998
2007-07-25 00:00:00,171.61352241418248,76.82956680923668,1112.1553564653743,True,-2.5,-7.550000000000011,0.25,0.35804330754046665,0.25506499254822074,0.38575464730692294,109.00000000000136,11.440901494278833,3813.6338314262775,0,-3802.1929299319986,95861.87972234975
2007-07-26 00:00:00,171.61352241418248,99.54482988413338,900.8458387369532,True,2.4000000000000057,13.300000000000011,-0.5,0.35636440539081543,0.32518887209087755,0.31730067609099605,109.00000000000136,10.059445199229312,0,-7057.6322373704015,7078.868843902108,95109.58491948922
2007-07-27 00:00:00,139.0069531554878,80.63131220614804,1282.9093182434037,True,-0.4000000000000057,-13.399999999999977,0.75,0.2883804773177442,0.2711223222701582,0.43936599093256995,109.00000000000136,37.93809876744095,6518.053194813065,6127.979727667251,-12608.094823712876,96357.0425926063
2007-07-30 00:00:00,139.0069531554878,94.52966858806778,1154.6183864190634,True,-0.5999999999999943,3.3999999999999773,-0.5,0.2883626633783562,0.3053016774425805,0.40520225162792517,109.00000000000091,12.989456847214463,0,-4316.829492224273,4329.818949071488,96170.17275961707
2007-07-31 00:00:00,125.10625783993902,115.49827549828026,1039.1565477771571,True,-7.900000000000006,11.0,0.25,0.25971571231880386,0.37852063107983985,0.36062600074834944,109.00000000000091,8.294544894787958,2764.8482982626524,-6584.1425698067205,3839.1061348433864,95811.04840441435
2007-08-01 00:00:00,112.59563205594512,133.50778887648616,935.2408929994414,True,4.0,15.149999999999977,0.5,0.22323853001510333,0.45040604220138064,0.3252239637805404,109.00000000000091,7.168588574228505,2389.5295247428353,-5853.091847916923,3481.1744350534764,96335.36702302481
2007-08-02 00:00:00,101.3360688503506,108.14130898995379,1252.6394485764833,True,-2.5,-17.0,0.0,0.19911153149690788,0.3706464512259565,0.42914370902474763,109.00000000000136,32.472068875484744,2195.6148250909296,8628.408133403986,-10791.55088961943,99243.54093035159
2007-08-03 00:00:00,101.3360688503506,108.14130898995379,1252.6394485764833,False,-5.449999999999989,-4.099999999999966,-0.5,0.2007908608362914,0.35970372692753,0.4383834566812955,109.00000000000136,0,0,0,0,97151.7985053965
2007-08-08 00:00:00,101.3360688503506,108.14130898995379,1252.6394485764833,False,-9.350000000000023,-5.75,-0.3500000000000014,0.19841879852006547,0.36116979403632554,0.4392704024415511,109.00000000000136,0,0,0,0,95529.81783901503
2007-08-09 00:00:00,101.3360688503506,108.14130898995379,1252.6394485764833,False,-8.5,-0.5,0.20000000000000284,0.19254723217680342,0.36227454256065944,0.4440127252094412,109.00000000000136,0,0,0,0,93522.08926157025
2007-08-10 00:00:00,101.3360688503506,108.14130898995379,1252.6394485764833,False,-3.1999999999999886,-6.100000000000023,-1.3500000000000014,0.18464981404034808,0.3642862925776031,0.449890047823037,109.00000000000136,0,0,0,0,92857.1899115626
2007-08-13 00:00:00,184.92650889299063,87.59446028186255,1014.6379533469515,True,0.5,-1.3999999999999773,-0.5,0.340555269697785,0.29803739780908955,0.36019810825486787,109.00000000000136,10.822804835700818,-13876.013047078246,6301.718498771577,7616.047847345019,90140.43595178614
